,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id
0,p700_reference,27.0,0.0,820nm,52105,20240618_061824_maize_4193_2_DA,0,0.027,rice,4193_2_DA.json,0
1,p700_reference,32.0,5.0,820nm,52153,20240618_061824_maize_4193_2_DA,0,0.032,rice,4193_2_DA.json,0
2,p700_reference,37.0,10.0,820nm,52159,20240618_061824_maize_4193_2_DA,0,0.037,rice,4193_2_DA.json,0
3,p700_reference,42.0,15.0,820nm,52151,20240618_061824_maize_4193_2_DA,0,0.042,rice,4193_2_DA.json,0
4,p700_reference,47.0,20.0,820nm,52141,20240618_061824_maize_4193_2_DA,0,0.047,rice,4193_2_DA.json,0
5,p700_reference,52.0,25.0,820nm,52153,20240618_061824_maize_4193_2_DA,0,0.052,rice,4193_2_DA.json,0
6,p700_reference,57.0,30.0,820nm,52150,20240618_061824_maize_4193_2_DA,0,0.057,rice,4193_2_DA.json,0
7,p700_reference,62.0,35.0,820nm,52158,20240618_061824_maize_4193_2_DA,0,0.062,rice,4193_2_DA.json,0
8,p700_reference,67.0,40.0,820nm,52143,20240618_061824_maize_4193_2_DA,0,0.067,rice,4193_2_DA.json,0
9,p700_reference,72.0,45.0,820nm,52151,20240618_061824_maize_4193_2_DA,0,0.072,rice,4193_2_DA.json,0
10,p700_reference,77.0,50.0,820nm,52139,20240618_061824_maize_4193_2_DA,0,0.077,rice,4193_2_DA.json,0
11,p700_reference,82.0,55.0,820nm,52141,20240618_061824_maize_4193_2_DA,0,0.082,rice,4193_2_DA.json,0
12,p700_reference,87.0,60.0,820nm,52145,20240618_061824_maize_4193_2_DA,0,0.087,rice,4193_2_DA.json,0
13,p700_reference,92.0,65.0,820nm,52152,20240618_061824_maize_4193_2_DA,0,0.092,rice,4193_2_DA.json,0
14,p700_reference,97.0,70.0,820nm,52143,20240618_061824_maize_4193_2_DA,0,0.097,rice,4193_2_DA.json,0
15,p700_reference,102.0,75.0,820nm,52139,20240618_061824_maize_4193_2_DA,0,0.102,rice,4193_2_DA.json,0
16,p700_reference,107.0,80.0,820nm,52134,20240618_061824_maize_4193_2_DA,0,0.107,rice,4193_2_DA.json,0
17,p700_reference,112.0,85.0,820nm,52147,20240618_061824_maize_4193_2_DA,0,0.112,rice,4193_2_DA.json,0
18,p700_reference,117.0,90.0,820nm,52147,20240618_061824_maize_4193_2_DA,0,0.117,rice,4193_2_DA.json,0
19,p700_reference,122.0,95.0,820nm,52157,20240618_061824_maize_4193_2_DA,0,0.122,rice,4193_2_DA.json,0
