,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs
3,3,p700_reference,42.0,15.0,820nm,53443,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,3,0.042,rice,Pho1[-M]#35,2,-2.299598396078749
4,4,p700_reference,47.0,20.0,820nm,53441,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,4,0.047,rice,Pho1[-M]#35,2,-2.299512338095624
5,5,p700_reference,52.0,25.0,820nm,53451,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,5,0.052,rice,Pho1[-M]#35,2,-2.2999426280112494
6,6,p700_reference,57.0,30.0,820nm,53434,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,6,0.057,rice,Pho1[-M]#35,2,-2.299211135154686
7,7,p700_reference,62.0,35.0,820nm,53439,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,7,0.062,rice,Pho1[-M]#35,2,-2.2994262801124985
8,8,p700_reference,67.0,40.0,820nm,53439,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,8,0.067,rice,Pho1[-M]#35,2,-2.2994262801124985
9,9,p700_reference,72.0,45.0,820nm,53428,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,9,0.072,rice,Pho1[-M]#35,2,-2.2989529612053103
10,10,p700_reference,77.0,50.0,820nm,53451,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,10,0.077,rice,Pho1[-M]#35,2,-2.2999426280112494
11,11,p700_reference,82.0,55.0,820nm,53458,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,11,0.082,rice,Pho1[-M]#35,2,-2.300243830952188
12,12,p700_reference,87.0,60.0,820nm,53451,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,12,0.087,rice,Pho1[-M]#35,2,-2.2999426280112494
13,13,p700_reference,92.0,65.0,820nm,53445,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,13,0.092,rice,Pho1[-M]#35,2,-2.299684454061874
14,14,p700_reference,97.0,70.0,820nm,53443,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,14,0.097,rice,Pho1[-M]#35,2,-2.299598396078749
15,15,p700_reference,102.0,75.0,820nm,53447,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,15,0.102,rice,Pho1[-M]#35,2,-2.2997705120449994
16,16,p700_reference,107.0,80.0,820nm,53447,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,16,0.107,rice,Pho1[-M]#35,2,-2.2997705120449994
17,17,p700_reference,112.0,85.0,820nm,53453,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,17,0.112,rice,Pho1[-M]#35,2,-2.300028685994375
18,18,p700_reference,117.0,90.0,820nm,53439,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,18,0.117,rice,Pho1[-M]#35,2,-2.2994262801124985
19,19,p700_reference,122.0,95.0,820nm,53443,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,19,0.122,rice,Pho1[-M]#35,2,-2.299598396078749
20,20,p700_reference,127.0,100.0,820nm,53442,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,20,0.127,rice,Pho1[-M]#35,2,-2.299555367087186
21,21,p700_reference,132.0,105.0,820nm,53446,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,21,0.132,rice,Pho1[-M]#35,2,-2.2997274830534367
22,22,p700_reference,137.0,110.0,820nm,53447,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,22,0.137,rice,Pho1[-M]#35,2,-2.2997705120449994
23,23,p700_reference,142.0,115.0,820nm,53443,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,23,0.142,rice,Pho1[-M]#35,2,-2.299598396078749
24,24,p700_reference,147.0,120.0,820nm,53447,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,24,0.147,rice,Pho1[-M]#35,2,-2.2997705120449994
25,25,p700_reference,152.0,125.0,820nm,53431,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,25,0.152,rice,Pho1[-M]#35,2,-2.299082048179998
26,26,p700_reference,157.0,130.0,820nm,53455,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,26,0.157,rice,Pho1[-M]#35,2,-2.3001147439775
27,27,p700_reference,162.0,135.0,820nm,53451,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,27,0.162,rice,Pho1[-M]#35,2,-2.2999426280112494
28,28,p700_reference,167.0,140.0,820nm,53430,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,28,0.167,rice,Pho1[-M]#35,2,-2.2990390191884353
29,29,p700_reference,172.0,145.0,820nm,53433,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,29,0.172,rice,Pho1[-M]#35,2,-2.299168106163123
30,30,p700_reference,177.0,150.0,820nm,53439,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,30,0.177,rice,Pho1[-M]#35,2,-2.2994262801124985
31,31,p700_reference,182.0,155.0,820nm,53455,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,31,0.182,rice,Pho1[-M]#35,2,-2.3001147439775
32,32,p700_reference,187.0,160.0,820nm,53453,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,32,0.187,rice,Pho1[-M]#35,2,-2.300028685994375
33,33,p700_reference,192.0,165.0,820nm,53454,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,33,0.192,rice,Pho1[-M]#35,2,-2.3000717149859375
34,34,p700_reference,197.0,170.0,820nm,53463,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,34,0.197,rice,Pho1[-M]#35,2,-2.3004589759100003
35,35,p700_reference,202.0,175.0,820nm,53453,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,35,0.202,rice,Pho1[-M]#35,2,-2.300028685994375
36,36,p700_reference,207.0,180.0,820nm,53441,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,36,0.207,rice,Pho1[-M]#35,2,-2.299512338095624
37,37,p700_reference,212.0,185.0,820nm,53439,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,37,0.212,rice,Pho1[-M]#35,2,-2.2994262801124985
38,38,p700_reference,217.0,190.0,820nm,53438,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,38,0.217,rice,Pho1[-M]#35,2,-2.299383251120936
39,39,p700_reference,222.0,195.0,820nm,53427,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,39,0.222,rice,Pho1[-M]#35,2,-2.2989099322137476
40,40,p700_reference,227.0,200.0,820nm,53435,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,40,0.227,rice,Pho1[-M]#35,2,-2.2992541641462485
41,41,p700_reference,232.0,205.0,820nm,53439,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,41,0.232,rice,Pho1[-M]#35,2,-2.2994262801124985
42,42,p700_reference,237.0,210.0,820nm,53443,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,42,0.237,rice,Pho1[-M]#35,2,-2.299598396078749
43,43,p700_reference,242.0,215.0,820nm,53453,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,43,0.242,rice,Pho1[-M]#35,2,-2.300028685994375
44,44,p700_reference,247.0,220.0,820nm,53445,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,44,0.247,rice,Pho1[-M]#35,2,-2.299684454061874
45,45,p700_reference,252.0,225.0,820nm,53435,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,45,0.252,rice,Pho1[-M]#35,2,-2.2992541641462485
46,46,p700_reference,257.0,230.0,820nm,53447,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,46,0.257,rice,Pho1[-M]#35,2,-2.2997705120449994
47,47,p700_reference,262.0,235.0,820nm,53451,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,47,0.262,rice,Pho1[-M]#35,2,-2.2999426280112494
48,48,p700_reference,267.0,240.0,820nm,53462,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,48,0.267,rice,Pho1[-M]#35,2,-2.3004159469184375
49,49,p700_reference,272.0,245.0,820nm,53450,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,49,0.272,rice,Pho1[-M]#35,2,-2.299899599019687
50,50,p700_reference,277.0,250.0,820nm,53455,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,50,0.277,rice,Pho1[-M]#35,2,-2.3001147439775
51,51,p700_reference,282.0,255.0,820nm,53445,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,51,0.282,rice,Pho1[-M]#35,2,-2.299684454061874
52,52,p700_reference,287.0,260.0,820nm,53459,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,52,0.287,rice,Pho1[-M]#35,2,-2.3002868599437503
53,53,p700_reference,292.0,265.0,820nm,53451,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,53,0.292,rice,Pho1[-M]#35,2,-2.2999426280112494
54,54,p700_reference,297.0,270.0,820nm,53439,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,54,0.297,rice,Pho1[-M]#35,2,-2.2994262801124985
55,55,p700_reference,302.0,275.0,820nm,53443,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,55,0.302,rice,Pho1[-M]#35,2,-2.299598396078749
56,56,p700_reference,307.0,280.0,820nm,53447,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,56,0.307,rice,Pho1[-M]#35,2,-2.2997705120449994
57,57,p700_reference,312.0,285.0,820nm,53449,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,57,0.312,rice,Pho1[-M]#35,2,-2.2998565700281244
58,58,p700_reference,317.0,290.0,820nm,53447,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,58,0.317,rice,Pho1[-M]#35,2,-2.2997705120449994
59,59,p700_reference,322.0,295.0,820nm,53457,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,59,0.322,rice,Pho1[-M]#35,2,-2.3002008019606253
60,60,p700_reference,327.0,300.0,820nm,53457,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,60,0.327,rice,Pho1[-M]#35,2,-2.3002008019606253
61,61,p700_reference,332.0,305.0,820nm,53455,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,61,0.332,rice,Pho1[-M]#35,2,-2.3001147439775
62,62,p700_reference,337.0,310.0,820nm,53447,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,62,0.337,rice,Pho1[-M]#35,2,-2.2997705120449994
63,63,p700_reference,342.0,315.0,820nm,53447,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,63,0.342,rice,Pho1[-M]#35,2,-2.2997705120449994
64,64,p700_reference,347.0,320.0,820nm,53459,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,64,0.347,rice,Pho1[-M]#35,2,-2.3002868599437503
65,65,p700_reference,352.0,325.0,820nm,53451,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,65,0.352,rice,Pho1[-M]#35,2,-2.2999426280112494
66,66,p700_reference,357.0,330.0,820nm,53451,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,66,0.357,rice,Pho1[-M]#35,2,-2.2999426280112494
67,67,p700_reference,362.0,335.0,820nm,53447,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,67,0.362,rice,Pho1[-M]#35,2,-2.2997705120449994
68,68,p700_reference,367.0,340.0,820nm,53447,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,68,0.367,rice,Pho1[-M]#35,2,-2.2997705120449994
69,69,p700_reference,372.0,345.0,820nm,53453,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,69,0.372,rice,Pho1[-M]#35,2,-2.300028685994375
70,70,p700_reference,377.0,350.0,820nm,53451,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,70,0.377,rice,Pho1[-M]#35,2,-2.2999426280112494
71,71,p700_reference,382.0,355.0,820nm,53459,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,71,0.382,rice,Pho1[-M]#35,2,-2.3002868599437503
72,72,p700_reference,387.0,360.0,820nm,53457,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,72,0.387,rice,Pho1[-M]#35,2,-2.3002008019606253
73,73,p700_reference,392.0,365.0,820nm,53466,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,73,0.392,rice,Pho1[-M]#35,2,-2.300588062884688
74,74,p700_reference,397.0,370.0,820nm,53461,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,74,0.397,rice,Pho1[-M]#35,2,-2.3003729179268757
75,75,p700_reference,402.0,375.0,820nm,53459,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,75,0.402,rice,Pho1[-M]#35,2,-2.3002868599437503
76,76,p700_reference,407.0,380.0,820nm,53459,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,76,0.407,rice,Pho1[-M]#35,2,-2.3002868599437503
77,77,p700_reference,412.0,385.0,820nm,53459,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,77,0.412,rice,Pho1[-M]#35,2,-2.3002868599437503
78,78,p700_reference,417.0,390.0,820nm,53457,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,78,0.417,rice,Pho1[-M]#35,2,-2.3002008019606253
79,79,p700_reference,422.0,395.0,820nm,53455,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,79,0.422,rice,Pho1[-M]#35,2,-2.3001147439775
80,80,p700_reference,427.0,400.0,820nm,53455,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,80,0.427,rice,Pho1[-M]#35,2,-2.3001147439775
81,81,p700_reference,432.0,405.0,820nm,53456,20240726_0726rice_USDA_Pho1[-M]#35_2_DA,81,0.432,rice,Pho1[-M]#35,2,-2.3001577729690625
