,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id
0,p700_reference,27.0,0.0,820nm,47190,20240618_061824_maize_4193_5_DA,0,0.027,rice,4193_5_DA.json,0
1,p700_reference,32.0,5.0,820nm,47218,20240618_061824_maize_4193_5_DA,0,0.032,rice,4193_5_DA.json,0
2,p700_reference,37.0,10.0,820nm,47215,20240618_061824_maize_4193_5_DA,0,0.037,rice,4193_5_DA.json,0
3,p700_reference,42.0,15.0,820nm,47221,20240618_061824_maize_4193_5_DA,0,0.042,rice,4193_5_DA.json,0
4,p700_reference,47.0,20.0,820nm,47207,20240618_061824_maize_4193_5_DA,0,0.047,rice,4193_5_DA.json,0
5,p700_reference,52.0,25.0,820nm,47224,20240618_061824_maize_4193_5_DA,0,0.052,rice,4193_5_DA.json,0
6,p700_reference,57.0,30.0,820nm,47227,20240618_061824_maize_4193_5_DA,0,0.057,rice,4193_5_DA.json,0
7,p700_reference,62.0,35.0,820nm,47229,20240618_061824_maize_4193_5_DA,0,0.062,rice,4193_5_DA.json,0
8,p700_reference,67.0,40.0,820nm,47237,20240618_061824_maize_4193_5_DA,0,0.067,rice,4193_5_DA.json,0
9,p700_reference,72.0,45.0,820nm,47213,20240618_061824_maize_4193_5_DA,0,0.072,rice,4193_5_DA.json,0
10,p700_reference,77.0,50.0,820nm,47227,20240618_061824_maize_4193_5_DA,0,0.077,rice,4193_5_DA.json,0
11,p700_reference,82.0,55.0,820nm,47227,20240618_061824_maize_4193_5_DA,0,0.082,rice,4193_5_DA.json,0
12,p700_reference,87.0,60.0,820nm,47223,20240618_061824_maize_4193_5_DA,0,0.087,rice,4193_5_DA.json,0
13,p700_reference,92.0,65.0,820nm,47220,20240618_061824_maize_4193_5_DA,0,0.092,rice,4193_5_DA.json,0
14,p700_reference,97.0,70.0,820nm,47225,20240618_061824_maize_4193_5_DA,0,0.097,rice,4193_5_DA.json,0
15,p700_reference,102.0,75.0,820nm,47223,20240618_061824_maize_4193_5_DA,0,0.102,rice,4193_5_DA.json,0
16,p700_reference,107.0,80.0,820nm,47219,20240618_061824_maize_4193_5_DA,0,0.107,rice,4193_5_DA.json,0
17,p700_reference,112.0,85.0,820nm,47219,20240618_061824_maize_4193_5_DA,0,0.112,rice,4193_5_DA.json,0
18,p700_reference,117.0,90.0,820nm,47227,20240618_061824_maize_4193_5_DA,0,0.117,rice,4193_5_DA.json,0
19,p700_reference,122.0,95.0,820nm,47226,20240618_061824_maize_4193_5_DA,0,0.122,rice,4193_5_DA.json,0
20,p700_reference,127.0,100.0,820nm,47229,20240618_061824_maize_4193_5_DA,0,0.127,rice,4193_5_DA.json,0
21,p700_reference,132.0,105.0,820nm,47234,20240618_061824_maize_4193_5_DA,0,0.132,rice,4193_5_DA.json,0
22,p700_reference,137.0,110.0,820nm,47243,20240618_061824_maize_4193_5_DA,0,0.137,rice,4193_5_DA.json,0
23,p700_reference,142.0,115.0,820nm,47235,20240618_061824_maize_4193_5_DA,0,0.142,rice,4193_5_DA.json,0
24,p700_reference,147.0,120.0,820nm,47242,20240618_061824_maize_4193_5_DA,0,0.147,rice,4193_5_DA.json,0
25,p700_reference,152.0,125.0,820nm,47230,20240618_061824_maize_4193_5_DA,0,0.152,rice,4193_5_DA.json,0
26,p700_reference,157.0,130.0,820nm,47221,20240618_061824_maize_4193_5_DA,0,0.157,rice,4193_5_DA.json,0
27,p700_reference,162.0,135.0,820nm,47219,20240618_061824_maize_4193_5_DA,0,0.162,rice,4193_5_DA.json,0
28,p700_reference,167.0,140.0,820nm,47217,20240618_061824_maize_4193_5_DA,0,0.167,rice,4193_5_DA.json,0
29,p700_reference,172.0,145.0,820nm,47225,20240618_061824_maize_4193_5_DA,0,0.172,rice,4193_5_DA.json,0
30,p700_reference,177.0,150.0,820nm,47211,20240618_061824_maize_4193_5_DA,0,0.177,rice,4193_5_DA.json,0
31,p700_reference,182.0,155.0,820nm,47233,20240618_061824_maize_4193_5_DA,0,0.182,rice,4193_5_DA.json,0
32,p700_reference,187.0,160.0,820nm,47219,20240618_061824_maize_4193_5_DA,0,0.187,rice,4193_5_DA.json,0
